@id,name,addr:street,addr:city,website,phone,amenity,building,municipality,addr:place,addr:town,@lat,@lon
1878609692,,,,,,,,,,,42.0032791,21.5034901
1878609694,,,,,,,,,,,42.0038989,21.5033297
1878609695,,,,,,,,,,,42.0039118,21.5029617
1878609696,,,,,,,,,,,42.0038114,21.5030672
1878609697,,,,,,,,,,,42.0041411,21.5033351
1878609698,,,,,,,,,,,42.0040416,21.5033387
1878609700,,,,,,,,,,,42.0040545,21.5029708
1878609701,,,,,,,,,,,42.0041358,21.5035323
1878609702,,,,,,,,,,,42.0032913,21.5030415
1878644341,,,,,,,,,,,42.0020678,21.4820454
1878644342,,,,,,,,,,,42.0025057,21.4808465
1878644347,,,,,,,,,,,42.0033269,21.4826325
1878644349,,,,,,,,,,,42.0037373,21.4814899
1879077935,,,,,,,,,,,41.9313585,21.5273403
1879077941,,,,,,,,,,,41.9310572,21.5257739
1879077957,,,,,,,,,,,41.9315720,21.5258329
1879077960,,,,,,,,,,,41.9295068,21.5265651
1879078018,,,,,,,,,,,41.9302770,21.5271552
1879078020,,,,,,,,,,,41.9301254,21.5273028
1879078024,,,,,,,,,,,41.9302351,21.5251382
1879222891,,,,,,,,,,,41.9412043,21.5229677
1879222910,,,,,,,,,,,41.9402028,21.5107520
1879222914,,,,,,,,,,,41.9414675,21.5221982
1879222917,,,,,,,,,,,41.9406758,21.5208824
1879222934,,,,,,,,,,,41.9421425,21.5217891
1879222981,,,,,,,,,,,41.9409235,21.5086645
1879222994,,,,,,,,,,,41.9353253,21.5226494
1879223003,,,,,,,,,,,41.9416460,21.5232408
1879223028,,,,,,,,,,,41.9416790,21.5091359
1879223042,,,,,,,,,,,41.9354629,21.5221559
1879223060,,,,,,,,,,,41.9357123,21.5236821
1879223062,,,,,,,,,,,41.9355487,21.5221827
1879223064,,,,,,,,,,,41.9356365,21.5218635
1879223066,,,,,,,,,,,41.9352236,21.5226049
1879223070,,,,,,,,,,,41.9349960,21.5232395
1879223075,,,,,,,,,,,41.9409583,21.5112234
1879223118,,,,,,,,,,,41.9359358,21.5219440
1879223125,,,,,,,,,,,41.9404425,21.5215645
1879223131,,,,,,,,,,,41.9361283,21.5223858
1879223149,,,,,,,,,,,41.9358779,21.5222176
1894278752,,,,,,,,,,,41.9922662,21.4747274
1894278755,,,,,,,,,,,41.9928364,21.4748908
1894278758,,,,,,,,,,,41.9924347,21.4740851
1894278765,,,,,,,,,,,41.9931474,21.4747406
1894278785,,,,,,,,,,,41.9928224,21.4731436
1894278788,,,,,,,,,,,41.9935736,21.4736712
1897905611,,,,,,,,,,,41.9312528,21.5250256
1897905637,,,,,,,,,,,41.9309016,21.5245267
1897905638,,,,,,,,,,,41.9310333,21.5257337
1897905735,,,,,,,,,,,41.9301513,21.5249880
1897905844,,,,,,,,,,,41.9305624,21.5242692
1897905864,,,,,,,,,,,41.9309016,21.5247466
1898594362,,,,,,,,,,,41.9830983,21.4812067
1898594366,,,,,,,,,,,41.9833781,21.4791754
1898594369,,,,,,,,,,,41.9839404,21.4796394
1898594378,,,,,,,,,,,41.9836207,21.4800614
1898594386,,,,,,,,,,,41.9829328,21.4791280
1898594395,,,,,,,,,,,41.9832565,21.4794114
1898594400,,,,,,,,,,,41.9837091,21.4801329
1898594404,,,,,,,,,,,41.9822875,21.4805165
1898625458,,,,,,,,,,,41.9892364,21.4645068
1898625467,,,,,,,,,,,41.9895289,21.4636641
1898625475,,,,,,,,,,,41.9889481,21.4651156
1898625476,,,,,,,,,,,41.9893262,21.4644592
1898625477,,,,,,,,,,,41.9889144,21.4651757
1898625478,,,,,,,,,,,41.9892766,21.4645476
1898625480,,,,,,,,,,,41.9887154,21.4651248
1898625501,,,,,,,,,,,41.9895075,21.4651468
1898625511,,,,,,,,,,,41.9890689,21.4648053
1898625518,,,,,,,,,,,41.9902766,21.4642213
